Inl,Word,PhonStrsDISC,Phon no stress or syllables
2616,brood,'brot,brot
1720,brug,'br}x,br}x
1052,bruin,'brLn,brLn
2848,buik,'bLk,bLk
8671,buiten,'bL-t@,bLt@
10180,buiten,'bL-t@,bLt@
1253,buitengewoon,bL-t@-G@-'won,bLt@G@won
1339,buitenland,'bL-t@-lAnt,bLt@lAnt
2326,buitenlandse,'bL-t@-lAnt-s@,bLt@lAnts@
3482,bureau,by-'ro,byro
1075,buren,'by-r@,byr@
1637,burgemeester,b}r-G@-'mes-t@r,b}rG@mest@r
1716,burger,'b}r-G@r,b}rG@r
1258,burgerlijke,'b}r-G@r-l@-k@,b}rG@rl@k@
1796,burgers,'b}r-G@rs,b}rG@rs
1473,bus,'b}s,b}s
4437,buurt,'byrt,byrt
1594,caf#e,ka-'fe,kafe
1212,categorie,kA-t@-Go-'ri,kAt@Gori
1276,cel,'sEl,sEl
1046,centimeter,'sEn-ti-me-t@r,sEntimet@r
2147,centraal,sEn-'tral,sEntral
2760,centrale,sEn-'tra-l@,sEntral@
1963,centrum,'sEn-tr}m,sEntr}m
1801,chauffeur,So-'f|r,Sof|r
1394,chef,'SEf,SEf
1209,Chinese,Si-'ne-s@,Sines@
2101,christelijke,'krIs-t@-l@-k@,krIst@l@k@
1523,christendom,'krIs-t@n-dOm,krIst@ndOm
2479,Christus,'krIs-t}s,krIst}s
1290,cijfers,'sK-f@rs,sKf@rs
1935,"cli""ent",kli-'jEnt,klijEnt
1229,collega,kO-'le-Ga,kOleGa
1446,collega's,kO-'le-Gas,kOleGas
1657,combinatie,kOm-bi-'na-tsi,kOmbinatsi
1113,commandant,kO-mAn-'dAnt,kOmAndAnt
1023,commentaar,kO-mEn-'tar,kOmEntar
1756,commissaris,kO-mI-'sa-r@s,kOmIsar@s
2447,commissie,kO-'mI-si,kOmIsi
1578,communicatie,kO-my-ni-'ka-tsi,kOmynikatsi
1455,computer,kOm-'pju-t@r,kOmpjut@r
2392,conclusie,kON-'kly-zi,kONklyzi
1834,concrete,kON-'kre-t@,kONkret@
1433,conflict,kOn-'flIkt,kOnflIkt
1289,consequenties,kOn-s@-'kwEn-sis,kOns@kwEnsis
5303,contact,kOn-'tAkt,kOntAkt
1455,contacten,kOn-'tAk-t@,kOntAkt@
2181,controle,kOn-'tr<-l@,kOntr<l@
1492,crisis,'kri-s@s,kris@s
1856,culturele,k}l-ty-'re-l@,k}ltyrel@
3710,cultuur,k}l-'tyr,k}ltyr
1499,daad,'dat,dat
65639,daar,'dar,dar
2476,daaraan,'dar-an,daran
9843,daarbij,dar-'bK,darbK
5908,daardoor,dar-'dor,dardor
2377,daarentegen,dar-@n-'te-G@,dar@nteG@
4279,daarin,dar-'In,darIn
8045,daarmee,'dar-me,darme
12498,daarna,dar-'na,darna
2065,daarnaast,dar-'nast,darnast
13782,daarom,'dar-Om,darOm
4704,daarop,dar-'Op,darOp
2227,daarover,dar-'o-v@r,darov@r
2936,daartoe,dar-'tu,dartu
1781,daaruit,dar-'Lt,darLt
8100,daarvan,dar-'vAn,darvAn
5408,daarvoor,dar-'vor,darvor
19358,dacht,'dAxt,dAxt
1404,dachten,'dAx-t@,dAxt@
1890,dadelijk,'da-d@-l@k,dad@l@k
25707,dag,'dAx,dAx
2522,dagelijks,'da-G@-l@ks,daG@l@ks
1456,dagelijkse,'da-G@-l@k-s@,daG@l@ks@
13766,dagen,'da-G@,daG@
1826,dak,'dAk,dAk
1317,dal,'dAl,dAl
2040,dame,'da-m@,dam@
1608,dames,'da-m@s,dam@s
124471,dan,'dAn,dAn
58464,dan,'dAn,dAn
3348,dank,'dANk,dANk
1281,dankbaar,'dANg-bar,dANgbar
359361,dat,'dAt,dAt
263104,dat,'dAt,dAt
1380,datgene,dAt-'xe-n@,dAtxen@
2323977,de,'d@,d@
1865,december,de-'sEm-b@r,desEmb@r
3896,deden,'de-d@,ded@
18836,deed,'det,det
13220,deel,'del,del
1198,deelnemers,'del-ne-m@rs,delnem@rs
1185,definitie,de-fi-'ni-tsi,definitsi
1163,definitief,de-fi-ni-'tif,definitif
1432,degelijk,'de-G@-l@k,deG@l@k
1748,degene,d@-'Ge-n@,d@Gen@
1130,dekker,'dE-k@r,dEk@r
2984,delen,'de-l@,del@
1882,democratie,de-mo-kra-'tsi,demokratsi
1020,democratische,de-mo-'kra-ti-s@,demokratis@
7848,den,'dEn,dEn
5313,denk,'dENk,dENk
5313,denk,'dENk,dENk
8503,denken,'dEN-k@,dENk@
8503,denken,'dEN-k@,dENk@
2896,denkt,'dENkt,dENkt
2896,denkt,'dENkt,dENkt
12228,der,'dEr,dEr
12228,der,'dEr,dEr
6791,derde,'dEr-d@,dErd@
1619,dergelijk,'dEr-G@-l@k,dErG@l@k
1525,derhalve,dEr-'hAl-v@,dErhAlv@
2665,dertig,'dEr-t@x,dErt@x
1284,des,'dEs,dEs
1402,destijds,'dEs-tKts,dEstKts
1392,details,de-'tAjs,detAjs
13793,deur,'d|r,d|r
1903,deuren,'d|-r@,d|r@
105788,deze,'de-z@,dez@
11762,dezelfde,d@-'zElv-d@,d@zElvd@
7298,dicht,'dIxt,dIxt
1155,dichtbij,dIGd-'bK,dIGdbK
2714,dichter,'dIx-t@r,dIxt@r
1080,dichterbij,dIx-t@r-'bK,dIxt@rbK
452231,die,'di,di
1467,diende,'din-d@,dind@
1846,dienen,'di-n@,din@
1846,dienen,'di-n@,din@
5294,dienst,'dinst,dinst
1667,diensten,'dins-t@,dinst@
2494,dient,'dint,dint
2494,dient,'dint,dint
5943,diep,'dip,dip
2855,diepe,'di-p@,dip@
1495,dieper,'di-p@r,dip@r
1037,diepte,'dip-t@,dipt@
3340,dier,'dir,dir
4115,dieren,'di-r@,dir@
1521,diezelfde,di-'zElv-d@,dizElvd@
1873,dik,'dIk,dIk
4390,dikke,'dI-k@,dIk@
3571,dikwijls,'dIk-w@ls,dIkw@ls
2923,ding,'dIN,dIN
12649,dingen,'dI-N@,dIN@
5340,direct,di-'rEkt,dirEkt
1722,directe,di-'rEk-t@,dirEkt@
2175,directeur,di-rEk-'t|r,dirEkt|r
2401,discussie,dIs-'k}-si,dIsk}si
94623,dit,'dIt,dIt
1340,ditmaal,'dIt-mal,dItmal
2483,diverse,di-'vEr-s@,divErs@
5053,doch,'dOx,dOx
3944,dochter,'dOx-t@r,dOxt@r
3254,doe,'du,du
3254,doe,'du,du
6085,doel,'dul,dul
1313,doeleinden,'dul-Kn-d@,dulKnd@
1510,doelstellingen,'dul-stE-lI-N@,dulstElIN@
10445,doen,'dun,dun
10445,doen,'dun,dun
20889,doen,'dun,dun
7086,doet,'dut,dut
7086,doet,'dut,dut
5515,dokter,'dOk-t@r,dOkt@r
1512,dollar,'dO-lAr,dOlAr
1358,dom,'dOm,dOm
2418,donker,'dON-k@r,dONk@r
1579,donker,'dON-k@r,dONk@r
4498,donkere,'dON-k@-r@,dONk@r@
4718,dood,'dot,dot
9908,dood,'dot,dot
35984,door,'dor,dor
142139,door,'dor,dor
4073,doordat,dor-'dAt,dordAt
1290,doorgaans,'dor-Gans,dorGans
4172,dorp,'dOrp,dOrp
1013,dorpen,'dOr-p@,dOrp@
5150,draaide,'draj-d@,drajd@
1004,draaien,'dra-j@,draj@
1004,draaien,'dra-j@,draj@
1824,dragen,'dra-G@,draG@
1824,dragen,'dra-G@,draG@
1374,drank,'drANk,drANk
20616,drie,'dri,dri
1059,drinken,'drIN-k@,drINk@
1059,drinken,'drIN-k@,drINk@
2118,drinken,'drIN-k@,drINk@
4064,droeg,'drux,drux
1162,droegen,'dru-G@,druG@
1658,dromen,'dro-m@,drom@
1828,drong,'drON,drON
1661,dronk,'drONk,drONk
1586,dronken,'drON-k@,drONk@
1897,droog,'drox,drox
3400,droom,'drom,drom
3996,druk,'dr}k,dr}k
1621,druk,'dr}k,dr}k
2771,drukte,'dr}k-t@,dr}kt@
1594,dubbele,'d}-b@-l@,d}b@l@
15566,duidelijk,'dL-d@-l@k,dLd@l@k
1999,duidelijke,'dL-d@-l@-k@,dLd@l@k@
1093,duidelijker,'dL-d@-l@-k@r,dLd@l@k@r
1070,duim,'dLm,dLm
1588,duisternis,'dLs-t@r-nIs,dLst@rnIs
6606,Duitse,'dLt-s@,dLts@
2641,Duitsers,'dLt-s@rs,dLts@rs
1578,duivel,'dL-v@l,dLv@l
1631,duizend,'dL-z@nt,dLz@nt
1978,duizenden,'dL-z@n-d@,dLz@nd@
1071,dure,'dy-r@,dyr@
1827,durfde,'d}rv-d@,d}rvd@
32110,dus,'d}s,d}s
2570,duur,'dyr,dyr
2059,duurde,'dyr-d@,dyrd@
1738,duwde,'dyw-d@,dywd@
1868,dwars,'dwArs,dwArs
11060,echt,'Ext,Ext
5366,echte,'Ex-t@,Ext@
22159,echter,'Ex-t@r,Ext@r
1602,echtgenoot,'Ext-x@-not,Extx@not
1657,economie,e-ko-no-'mi,ekonomi
1348,economisch,e-ko-'no-mis,ekonomis
4433,economische,e-ko-'no-mi-s@,ekonomis@
21600,een,'en,en
1058382,een,'@n,'@n
2432,eenheid,'en-hKt,enhKt
6809,eenmaal,'en-mal,enmal
3498,eens,'ens,ens
40226,eens,'ens,ens
1219,eentje,'en-tj@,entj@
3716,eenvoudig,en-'vM-d@x,envMd@x
